row_id,customer_id,order_id,order_date,ship_date,ship_mode,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_date_clean,ship_date_clean
0,CG-12520,CA-2016-152156,8/11/2016,11/11/2016,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,1013.13,11/8/2016,11/11/2016
0,SO-20335,US-2015-108966,11/10/2015,18/10/2015,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,746.41,10/11/2015,10/18/2015
0,BH-11710,CA-2014-115812,9/6/2014,14/06/2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,673.88,6/9/2014,6/14/2014
0,EB-13870,CA-2015-106320,25/09/2015,30/09/2015,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,610.86,9/25/2015,9/30/2015
0,TB-21520,US-2015-150630,17/09/2015,21/09/2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"""Howard Miller 13-3/4"""" Diameter Brushed Chrome Round Wall Clock""",124.2,3,0.2,585.55,9/17/2015,9/21/2015
0,DP-13000,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,523.71,4/18/2015,4/22/2015
0,TB-21055,CA-2016-111682,17/06/2016,18/06/2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,481.47,6/17/2016,6/18/2016
0,KM-16720,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,427.44,11/24/2015,11/30/2015
0,JE-15745,US-2015-134026,26/04/2015,2/5/2015,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8,0.2,422.51,4/26/2015,5/2/2015
0,PO-18865,CA-2017-140088,28/05/2017,30/05/2017,Second Class,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,401.81,5/28/2017,5/30/2017
0,KB-16315,CA-2015-149587,31/01/2015,5/2/2015,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"""Seth Thomas 13 1/2"""" Wall Clock""",53.34,3,0,399.3,1/31/2015,2/5/2015
0,PN-18775,CA-2017-161018,9/11/2017,11/11/2017,Second Class,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,394.27,11/9/2017,11/11/2017
0,CV-12805,CA-2017-146780,25/12/2017,30/12/2017,Standard Class,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,388.81,12/25/2017,12/30/2017
0,DK-13090,CA-2015-110457,2/3/2015,6/3/2015,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,387.57,3/2/2015,3/6/2015
